trial	chips_added_at_a_time	execution_time	edges	levels	diameter	ASPL	power	frequency	tempurature	picked_by	overlap	numchips	candidates
1	3	1143.46540999	10	4	5	2.33333333333	56.7207	3600.0	49.19	power	0.1	9	21
2	3	1256.71016884	9	3	5	2.5	56.7207	3600.0	49.7	power	0.1	9	21
3	3	960.476945162	9	3	6	2.66666666667	56.7207	3600.0	48.24	power	0.1	9	21
4	3	1628.22608209	8	5	6	3.0	56.7207	3600.0	48.76	power	0.1	9	21
5	3	1444.39236808	10	5	5	2.27777777778	56.7207	3600.0	48.58	power	0.1	9	21
6	3	1111.28643417	10	4	5	2.33333333333	56.7207	3600.0	48.99	power	0.1	9	21
7	3	1057.35295987	9	4	4	2.33333333333	56.7207	3600.0	49.34	power	0.1	9	21
8	3	1028.22021699	9	3	5	2.44444444444	56.7207	3600.0	49.39	power	0.1	9	21
9	3	904.636718035	9	3	5	2.33333333333	56.7207	3600.0	49.7	power	0.1	9	21
10	3	951.084668875	8	3	8	3.33333333333	56.7207	3600.0	47.67	power	0.1	9	21
1	3	948.4915061	9	3	5	2.38888888889	56.7207	3600.0	50.0	power	0.1	9	22
2	3	1087.89122295	9	3	5	2.38888888889	56.7207	3600.0	49.67	power	0.1	9	22
3	3	1258.50874686	10	3	6	2.44444444444	56.7207	3600.0	48.94	power	0.1	9	22
4	3	1211.21631002	8	3	6	2.72222222222	56.7207	3600.0	49.47	power	0.1	9	22
5	3	794.930570841	9	3	6	2.55555555556	56.7207	3600.0	48.5	power	0.1	9	22
6	3	1211.90364695	8	4	5	2.66666666667	56.7207	3600.0	49.61	power	0.1	9	22
7	3	1876.94527221	8	4	6	2.83333333333	56.7207	3600.0	49.09	power	0.1	9	22
8	3	1228.95683908	8	3	6	2.88888888889	56.7207	3600.0	49.02	power	0.1	9	22
9	3	1336.13618112	9	3	5	2.38888888889	56.7207	3600.0	49.7	power	0.1	9	22
10	3	765.844455957	9	3	5	2.38888888889	56.7207	3600.0	50.0	power	0.1	9	22
1	3	1072.65818214	8	3	7	3.05555555556	56.7207	3600.0	49.95	power	0.1	9	23
2	3	1502.9081471	10	3	6	2.5	56.7207	3600.0	49.5	power	0.1	9	23
3	3	1075.78389597	8	3	6	2.83333333333	56.7207	3600.0	48.86	power	0.1	9	23
4	3	1182.30348897	10	5	5	2.38888888889	56.7207	3600.0	49.52	power	0.1	9	23
5	3	1156.16501904	8	4	5	2.55555555556	56.7207	3600.0	49.48	power	0.1	9	23
6	3	1237.83634114	9	3	5	2.5	41.9991	3200.0	43.8	power	0.1	9	23
7	3	1406.95623708	8	3	6	2.72222222222	41.9991	3200.0	44.06	power	0.1	9	23
8	3	1526.85843682	10	4	5	2.22222222222	56.7207	3600.0	48.64	power	0.1	9	23
9	3	1307.62452602	9	4	5	2.38888888889	56.7207	3600.0	49.31	power	0.1	9	23
10	3	728.16297698	9	3	6	2.55555555556	56.7207	3600.0	47.27	power	0.1	9	23
1	3	1222.83955479	9	3	6	2.61111111111	56.7207	3600.0	49.21	power	0.1	9	24
2	3	1142.04833698	9	3	6	2.55555555556	56.7207	3600.0	49.73	power	0.1	9	24
3	3	1419.761801	9	3	6	2.61111111111	56.7207	3600.0	49.43	power	0.1	9	24
4	3	1386.14517689	8	3	7	3.0	56.7207	3600.0	47.82	power	0.1	9	24
5	3	1146.47741389	11	4	4	2.05555555556	56.7207	3600.0	49.48	power	0.1	9	24
6	3	1270.08199716	9	5	6	2.61111111111	56.7207	3600.0	46.96	power	0.1	9	24
7	3	859.849581957	8	3	7	3.0	56.7207	3600.0	48.0	power	0.1	9	24
8	3	1260.50156808	9	3	6	2.61111111111	56.7207	3600.0	49.09	power	0.1	9	24
9	3	1205.67396212	9	4	6	2.61111111111	56.7207	3600.0	49.72	power	0.1	9	24
10	3	1390.57716393	9	4	6	2.72222222222	56.7207	3600.0	48.27	power	0.1	9	24
1	3	1497.59136295	9	3	6	2.66666666667	56.7207	3600.0	48.89	power	0.1	9	25
2	3	1508.01740289	10	4	5	2.27777777778	56.7207	3600.0	49.92	power	0.1	9	25
3	3	1322.16461396	8	3	6	2.72222222222	56.7207	3600.0	49.66	power	0.1	9	25
4	3	1578.66614985	9	3	6	2.66666666667	56.7207	3600.0	49.38	power	0.1	9	25
5	3	1250.83019114	10	3	4	2.16666666667	56.7207	3600.0	49.65	power	0.1	9	25
6	3	1162.70094991	8	4	5	2.61111111111	56.7207	3600.0	49.39	power	0.1	9	25
7	3	1518.34213901	8	3	6	2.83333333333	56.7207	3600.0	49.41	power	0.1	9	25
8	3	1573.430125	8	4	6	2.88888888889	56.7207	3600.0	48.27	power	0.1	9	25
9	3	1052.04819703	9	4	6	2.66666666667	56.7207	3600.0	49.6	power	0.1	9	25
10	3	694.860440016	9	3	6	2.72222222222	56.7207	3600.0	48.97	power	0.1	9	25
1	2	1196.90781498	10	3	6	2.55555555556	56.7207	3600.0	49.17	power	0.1	9	15
2	2	1241.02831697	9	3	6	2.61111111111	56.7207	3600.0	49.22	power	0.1	9	15
3	2	1354.18247795	9	3	6	2.66666666667	56.7207	3600.0	49.4	power	0.1	9	15
4	2	1153.16697407	9	3	5	2.44444444444	56.7207	3600.0	49.64	power	0.1	9	15
5	2	763.665373087	8	3	6	2.77777777778	41.9991	3200.0	44.83	power	0.1	9	15
6	2	1245.57468796	10	3	5	2.27777777778	41.9991	3200.0	44.42	power	0.1	9	15
7	2	1067.69377708	9	3	6	2.55555555556	56.7207	3600.0	49.63	power	0.1	9	15
8	2	974.658619881	9	3	7	3.0	56.7207	3600.0	48.4	power	0.1	9	15
9	2	1192.39776397	8	4	7	3.05555555556	56.7207	3600.0	48.06	power	0.1	9	15
10	2	1103.84771895	9	3	5	2.44444444444	41.9991	3200.0	45.36	power	0.1	9	15
1	2	1603.38487411	9	3	5	2.38888888889	41.9991	3200.0	47.39	power	0.1	9	16
2	2	997.737217903	11	3	5	2.16666666667	56.7207	3600.0	49.95	power	0.1	9	16
3	2	1307.45121789	8	3	6	3.0	56.7207	3600.0	49.88	power	0.1	9	16
4	2	1227.56492114	10	3	5	2.33333333333	56.7207	3600.0	49.6	power	0.1	9	16
5	2	1502.09217	12	3	4	2.0	41.9991	3200.0	45.16	power	0.1	9	16
6	2	604.210398912	8	4	7	3.05555555556	56.7207	3600.0	45.91	power	0.1	9	16
7	2	664.892642021	8	4	6	2.88888888889	56.7207	3600.0	46.87	power	0.1	9	16
8	2	1042.5324769	9	3	5	2.5	56.7207	3600.0	49.57	power	0.1	9	16
9	2	1138.69616008	8	3	6	2.72222222222	56.7207	3600.0	49.63	power	0.1	9	16
10	2	1115.500072	8	3	6	2.88888888889	56.7207	3600.0	48.46	power	0.1	9	16
1	2	776.371443987	10	4	5	2.33333333333	56.7207	3600.0	49.78	power	0.1	9	17
2	2	1201.13483191	10	3	5	2.33333333333	56.7207	3600.0	49.93	power	0.1	9	17
3	2	1095.66427088	8	2	4	2.5	41.9991	3200.0	47.57	power	0.1	9	17
4	2	1557.55892897	8	4	6	2.83333333333	56.7207	3600.0	49.05	power	0.1	9	17
5	2	1034.18277097	9	3	6	2.55555555556	56.7207	3600.0	49.09	power	0.1	9	17
6	2	588.326097965	8	3	6	2.83333333333	56.7207	3600.0	48.43	power	0.1	9	17
7	2	880.736379862	9	3	6	2.61111111111	56.7207	3600.0	49.0	power	0.1	9	17
8	2	1084.3811059	9	4	5	2.5	56.7207	3600.0	48.7	power	0.1	9	17
9	2	1393.48962808	8	3	6	2.83333333333	56.7207	3600.0	49.86	power	0.1	9	17
10	2	1397.30628395	9	3	6	2.66666666667	56.7207	3600.0	48.58	power	0.1	9	17
1	2	863.048274994	9	3	5	2.33333333333	56.7207	3600.0	49.6	power	0.1	9	18
2	2	759.837494135	9	4	5	2.44444444444	56.7207	3600.0	48.78	power	0.1	9	18
3	2	1111.9761939	10	4	5	2.22222222222	56.7207	3600.0	47.81	power	0.1	9	18
4	2	511.305410147	8	4	7	3.05555555556	56.7207	3600.0	43.1	power	0.1	9	18
5	2	1998.08270192	10	5	6	2.44444444444	56.7207	3600.0	49.39	power	0.1	9	18
6	2	950.418632984	8	3	5	2.66666666667	56.7207	3600.0	49.36	power	0.1	9	18
7	2	1187.4551301	8	3	5	2.55555555556	56.7207	3600.0	49.84	power	0.1	9	18
8	2	1035.87090707	8	5	7	3.05555555556	56.7207	3600.0	46.26	power	0.1	9	18
9	2	998.322651148	10	4	5	2.27777777778	56.7207	3600.0	48.58	power	0.1	9	18
10	2	1138.74383116	8	4	6	2.83333333333	56.7207	3600.0	50.0	power	0.1	9	18
1	2	747.580533028	9	3	5	2.33333333333	56.7207	3600.0	49.97	power	0.1	9	19
2	2	645.124825001	8	3	8	3.33333333333	56.7207	3600.0	47.16	power	0.1	9	19
3	2	1439.59008694	9	4	5	2.5	56.7207	3600.0	48.9	power	0.1	9	19
4	2	1632.08383703	10	3	5	2.27777777778	56.7207	3600.0	49.72	power	0.1	9	19
5	2	888.258265018	8	2	7	3.05555555556	56.7207	3600.0	48.26	power	0.1	9	19
6	2	1306.53756404	10	4	5	2.27777777778	56.7207	3600.0	49.08	power	0.1	9	19
7	2	1649.09005189	8	5	7	3.0	56.7207	3600.0	48.62	power	0.1	9	19
8	2	1354.400069	9	3	5	2.5	56.7207	3600.0	49.81	power	0.1	9	19
9	2	816.623553991	10	2	5	2.27777777778	41.9991	3200.0	45.59	power	0.1	9	19
10	2	931.232486963	9	3	5	2.44444444444	56.7207	3600.0	49.65	power	0.1	9	19
1	1	1039.77298903	9	4	5	2.55555555556	56.7207	3600.0	48.64	power	0.1	9	10
2	1	1511.777987	11	3	5	2.16666666667	56.7207	3600.0	49.94	power	0.1	9	10
3	1	880.408455133	9	3	6	2.72222222222	56.7207	3600.0	49.65	power	0.1	9	10
4	1	896.248539925	9	3	6	2.61111111111	56.7207	3600.0	49.04	power	0.1	9	10
5	1	1493.59873104	10	3	5	2.27777777778	56.7207	3600.0	49.26	power	0.1	9	10
6	1	1333.51248908	10	3	5	2.33333333333	56.7207	3600.0	49.36	power	0.1	9	10
