trial	chips_added_at_a_time	execution_time	edges	levels	diameter	ASPL	power	frequency	tempurature	picked_by	overlap	numchips	candidates
1	3	1324.61222696	8	5	5	2.72222222222	56.7207	3600.0	48.47	power	0.2	9	11
2	3	930.372845888	8	4	7	3.05555555556	56.7207	3600.0	49.52	power	0.2	9	11
3	3	1498.54986811	11	4	5	2.16666666667	41.9991	3200.0	46.62	power	0.2	9	11
4	3	995.94878912	9	3	4	2.38888888889	41.9991	3200.0	46.87	power	0.2	9	11
5	3	875.412317038	9	2	6	2.61111111111	41.9991	3200.0	46.53	power	0.2	9	11
6	3	1086.94755197	10	3	5	2.27777777778	41.9991	3200.0	45.66	power	0.2	9	11
7	3	916.550091982	10	3	5	2.27777777778	41.9991	3200.0	46.51	power	0.2	9	11
8	3	1142.67709208	8	5	7	3.0	41.9991	3200.0	44.48	power	0.2	9	11
9	3	1684.97283411	9	4	4	2.33333333333	41.9991	3200.0	48.27	power	0.2	9	11
10	3	1065.92800307	8	3	5	2.72222222222	41.9991	3200.0	48.23	power	0.2	9	11
1	3	1252.26947689	9	4	5	2.38888888889	41.9991	3200.0	49.87	power	0.2	9	12
2	3	1100.78782916	9	4	5	2.38888888889	41.9991	3200.0	44.46	power	0.2	9	12
3	3	1129.30437112	8	4	6	2.83333333333	56.7207	3600.0	49.73	power	0.2	9	12
4	3	1118.15848112	10	4	4	2.16666666667	41.9991	3200.0	46.89	power	0.2	9	12
5	3	797.190304995	10	2	4	2.16666666667	41.9991	3200.0	47.8	power	0.2	9	12
6	3	1090.59966493	9	3	5	2.61111111111	41.9991	3200.0	47.88	power	0.2	9	12
7	3	1089.883183	9	3	5	2.5	41.9991	3200.0	47.34	power	0.2	9	12
8	3	1247.28154492	10	4	4	2.16666666667	41.9991	3200.0	45.22	power	0.2	9	12
9	3	668.773205042	8	2	8	3.33333333333	56.7207	3600.0	48.45	power	0.2	9	12
10	3	1117.37838507	8	3	7	3.0	56.7207	3600.0	49.37	power	0.2	9	12
1	3	1562.30047607	8	5	6	2.88888888889	56.7207	3600.0	49.73	power	0.2	9	13
2	3	955.879359007	9	3	7	2.83333333333	56.7207	3600.0	49.28	power	0.2	9	13
3	3	1166.65450191	10	3	5	2.27777777778	41.9991	3200.0	47.64	power	0.2	9	13
4	3	1312.37586188	8	5	5	2.55555555556	56.7207	3600.0	48.38	power	0.2	9	13
5	3	1207.17377114	8	4	5	2.61111111111	41.9991	3200.0	45.43	power	0.2	9	13
6	3	1335.99544215	9	4	6	2.55555555556	41.9991	3200.0	45.04	power	0.2	9	13
7	3	1011.15799809	9	3	5	2.38888888889	41.9991	3200.0	47.8	power	0.2	9	13
8	3	1103.50552201	8	4	6	3.0	41.9991	3200.0	43.66	power	0.2	9	13
9	3	1125.91327691	8	4	7	3.05555555556	56.7207	3600.0	49.26	power	0.2	9	13
10	3	1138.39920402	9	3	6	2.72222222222	41.9991	3200.0	46.28	power	0.2	9	13
1	3	2325.9150629	8	4	5	2.55555555556	41.9991	3200.0	48.54	power	0.2	9	14
2	3	1450.67536783	8	5	6	2.77777777778	56.7207	3600.0	49.03	power	0.2	9	14
3	3	1117.14968586	11	4	5	2.16666666667	41.9991	3200.0	46.37	power	0.2	9	14
4	3	1023.56494188	9	3	6	2.72222222222	41.9991	3200.0	44.43	power	0.2	9	14
5	3	1261.09595704	8	4	5	2.55555555556	41.9991	3200.0	46.49	power	0.2	9	14
6	3	905.254354954	8	2	8	3.33333333333	56.7207	3600.0	47.95	power	0.2	9	14
7	3	1127.02740383	11	3	4	2.11111111111	41.9991	3200.0	46.13	power	0.2	9	14
8	3	1186.51792407	9	5	6	2.55555555556	56.7207	3600.0	49.04	power	0.2	9	14
9	3	955.252740145	8	3	6	2.77777777778	41.9991	3200.0	46.08	power	0.2	9	14
10	3	978.278150082	9	3	5	2.5	41.9991	3200.0	47.16	power	0.2	9	14
1	3	1728.85485601	9	4	6	2.55555555556	41.9991	3200.0	46.44	power	0.2	9	15
2	3	1548.25854707	9	4	5	2.33333333333	41.9991	3200.0	45.72	power	0.2	9	15
3	3	984.525933981	9	3	5	2.38888888889	41.9991	3200.0	49.37	power	0.2	9	15
4	3	1510.4001832	9	4	5	2.44444444444	41.9991	3200.0	45.43	power	0.2	9	15
5	3	1296.42820287	9	3	5	2.38888888889	41.9991	3200.0	45.52	power	0.2	9	15
6	3	1327.5463872	9	4	4	2.33333333333	41.9991	3200.0	45.15	power	0.2	9	15
7	3	1200.17726111	9	5	6	2.61111111111	56.7207	3600.0	49.31	power	0.2	9	15
8	3	966.035486937	8	4	6	2.83333333333	56.7207	3600.0	49.09	power	0.2	9	15
9	3	2277.26693702	8	4	6	2.72222222222	41.9991	3200.0	47.59	power	0.2	9	15
10	3	1378.96148014	8	5	5	2.72222222222	56.7207	3600.0	48.73	power	0.2	9	15
1	2	844.474448204	10	3	5	2.33333333333	41.9991	3200.0	46.41	power	0.2	9	9
2	2	1340.66262698	8	3	5	2.55555555556	41.9991	3200.0	46.83	power	0.2	9	9
3	2	926.102931976	8	4	7	3.16666666667	56.7207	3600.0	48.53	power	0.2	9	9
4	2	1440.42296195	10	3	4	2.22222222222	41.9991	3200.0	47.92	power	0.2	9	9
5	2	1354.51980996	8	4	5	2.61111111111	41.9991	3200.0	46.81	power	0.2	9	9
6	2	1352.23066401	8	4	5	2.55555555556	41.9991	3200.0	45.81	power	0.2	9	9
7	2	2356.62162304	8	6	7	3.05555555556	56.7207	3600.0	49.2	power	0.2	9	9
