trial	chips_added_at_a_time	execution_time	edges	levels	diameter	ASPL	power	frequency	tempurature	picked_by	overlap	numchips	candidates
1	3	1113.09722304	10	3	6	2.44444444444	41.9991	3200.0	45.35	power	0.2	9	36
2	3	843.212868929	8	4	7	3.0	56.7207	3600.0	48.91	power	0.2	9	36
3	3	1095.03841805	10	4	5	2.27777777778	41.9991	3200.0	45.34	power	0.2	9	36
4	3	752.446434975	9	3	6	2.77777777778	56.7207	3600.0	49.13	power	0.2	9	36
5	3	841.140084982	8	5	7	3.05555555556	56.7207	3600.0	48.18	power	0.2	9	36
6	3	1021.53028488	9	5	7	2.83333333333	56.7207	3600.0	48.53	power	0.2	9	36
7	3	1166.10473418	8	6	6	2.83333333333	56.7207	3600.0	48.96	power	0.2	9	36
8	3	630.784700871	8	5	5	2.72222222222	56.7207	3600.0	49.24	power	0.2	9	36
9	3	876.626559019	9	5	5	2.5	56.7207	3600.0	48.81	power	0.2	9	36
10	3	898.220742941	9	4	6	2.66666666667	56.7207	3600.0	49.66	power	0.2	9	36
1	2	1416.18242598	8	4	6	2.83333333333	56.7207	3600.0	48.45	power	0.2	9	36
2	2	1304.67363191	9	3	5	2.5	41.9991	3200.0	46.98	power	0.2	9	36
3	2	1391.15322995	8	4	6	2.77777777778	41.9991	3200.0	44.21	power	0.2	9	36
4	2	1057.42382407	8	3	6	2.77777777778	56.7207	3600.0	49.73	power	0.2	9	36
5	2	1420.73369598	10	3	4	2.22222222222	41.9991	3200.0	47.12	power	0.2	9	36
6	2	958.985792875	8	3	8	3.33333333333	56.7207	3600.0	49.83	power	0.2	9	36
7	2	1246.11463404	10	3	4	2.22222222222	41.9991	3200.0	47.44	power	0.2	9	36
8	2	1269.13274312	9	4	6	2.77777777778	41.9991	3200.0	44.63	power	0.2	9	36
9	2	1255.35866284	11	4	4	2.05555555556	41.9991	3200.0	46.45	power	0.2	9	36
10	2	1331.183249	10	3	4	2.16666666667	41.9991	3200.0	46.56	power	0.2	9	36
1	1	2369.74293613	9	4	5	2.33333333333	41.9991	3200.0	45.72	power	0.2	9	36
2	1	2214.30869102	10	3	4	2.22222222222	41.9991	3200.0	47.64	power	0.2	9	36
3	1	2259.35270905	9	4	6	2.61111111111	56.7207	3600.0	49.17	power	0.2	9	36
4	1	2287.05766582	8	5	6	2.83333333333	56.7207	3600.0	48.43	power	0.2	9	36
5	1	1655.87150812	9	5	5	2.33333333333	56.7207	3600.0	49.03	power	0.2	9	36
6	1	4536.17427182	9	6	6	2.77777777778	41.9991	3200.0	45.13	power	0.2	9	36
7	1	1654.12494802	8	3	6	2.88888888889	56.7207	3600.0	49.95	power	0.2	9	36
8	1	2418.52931309	10	4	6	2.55555555556	41.9991	3200.0	44.37	power	0.2	9	36
9	1	2348.90953803	8	4	6	2.88888888889	41.9991	3200.0	45.03	power	0.2	9	36
10	1	2390.07959104	9	4	6	2.61111111111	41.9991	3200.0	45.59	power	0.2	9	36
1	cradle	650.501412153	8	3	7	3.16666666667	56.7207	3600.0	48.0	power	0.2	9	36
2	cradle	892.280785084	10	3	6	2.55555555556	56.7207	3600.0	49.6	power	0.2	9	36
3	cradle	544.88460207	8	5	5	2.66666666667	56.7207	3600.0	48.36	power	0.2	9	36
4	cradle	565.8847332	8	3	7	3.16666666667	56.7207	3600.0	46.6	power	0.2	9	36
5	cradle	566.627938032	8	3	7	3.16666666667	56.7207	3600.0	46.5	power	0.2	9	36
6	cradle	603.684412003	8	3	7	3.16666666667	56.7207	3600.0	46.67	power	0.2	9	36
7	cradle	684.324029207	8	3	8	3.33333333333	56.7207	3600.0	48.39	power	0.2	9	36
8	cradle	801.792387009	10	5	5	2.38888888889	56.7207	3600.0	49.21	power	0.2	9	36
9	cradle	505.871798992	8	3	7	3.0	56.7207	3600.0	47.97	power	0.2	9	36
10	cradle	460.232483864	8	3	8	3.33333333333	56.7207	3600.0	47.4	power	0.2	9	36
1	3	400.981326103	6	3	3	1.8	56.7207	3600.0	48.81	power	0.2	6	36
2	3	271.801460981	7	2	3	1.66666666667	56.7207	3600.0	49.57	power	0.2	6	36
3	3	302.084706068	5	3	4	2.06666666667	56.7207	3600.0	47.57	power	0.2	6	36
4	3	276.805099964	5	4	5	2.33333333333	56.7207	3600.0	48.64	power	0.2	6	36
5	3	294.751373053	5	3	5	2.33333333333	56.7207	3600.0	43.69	power	0.2	6	36
6	3	267.182994843	5	3	4	2.13333333333	56.7207	3600.0	46.32	power	0.2	6	36
7	3	301.940161943	5	3	3	1.93333333333	56.7207	3600.0	47.85	power	0.2	6	36
8	3	271.531085968	5	5	5	2.33333333333	56.7207	3600.0	42.77	power	0.2	6	36
9	3	273.310357809	5	3	5	2.33333333333	56.7207	3600.0	46.81	power	0.2	6	36
10	3	262.206035137	5	2	5	2.33333333333	56.7207	3600.0	45.0	power	0.2	6	36
1	2	547.287456036	6	3	3	1.8	56.7207	3600.0	47.8	power	0.2	6	36
2	2	236.563931942	5	3	5	2.33333333333	56.7207	3600.0	45.57	power	0.2	6	36
3	2	512.838345051	5	3	3	1.93333333333	56.7207	3600.0	49.88	power	0.2	6	36
4	2	422.409133196	5	3	4	2.06666666667	56.7207	3600.0	46.59	power	0.2	6	36
5	2	383.281153917	7	3	3	1.66666666667	56.7207	3600.0	49.82	power	0.2	6	36
6	2	288.199777126	5	4	4	2.06666666667	56.7207	3600.0	45.44	power	0.2	6	36
7	2	221.421860933	5	2	4	2.13333333333	56.7207	3600.0	47.88	power	0.2	6	36
8	2	399.947726011	7	3	3	1.66666666667	56.7207	3600.0	49.95	power	0.2	6	36
9	2	300.546196938	5	3	5	2.33333333333	56.7207	3600.0	46.15	power	0.2	6	36
10	2	475.102885962	5	3	5	2.33333333333	56.7207	3600.0	49.5	power	0.2	6	36
1	1	245.246832132	5	3	4	2.06666666667	56.7207	3600.0	47.58	power	0.2	6	36
2	1	547.232092857	5	4	4	2.13333333333	56.7207	3600.0	48.82	power	0.2	6	36
3	1	539.672199011	5	3	5	2.33333333333	56.7207	3600.0	45.23	power	0.2	6	36
4	1	287.312143087	5	3	5	2.33333333333	56.7207	3600.0	44.75	power	0.2	6	36
5	1	352.78324008	5	3	4	2.06666666667	56.7207	3600.0	47.98	power	0.2	6	36
6	1	326.439078808	5	4	5	2.33333333333	56.7207	3600.0	43.85	power	0.2	6	36
7	1	246.942724943	5	3	4	2.13333333333	56.7207	3600.0	47.52	power	0.2	6	36
8	1	288.738441944	5	4	4	2.06666666667	56.7207	3600.0	45.52	power	0.2	6	36
9	1	433.676736116	5	3	5	2.33333333333	56.7207	3600.0	48.59	power	0.2	6	36
10	1	456.81298089	5	3	4	2.06666666667	56.7207	3600.0	47.65	power	0.2	6	36
1	cradle	140.780069828	5	3	5	2.33333333333	56.7207	3600.0	46.7	power	0.2	6	36
2	cradle	125.618580103	5	3	5	2.33333333333	56.7207	3600.0	43.76	power	0.2	6	36
3	cradle	141.774980068	6	3	3	1.8	56.7207	3600.0	49.74	power	0.2	6	36
4	cradle	159.875649929	5	3	5	2.33333333333	56.7207	3600.0	46.7	power	0.2	6	36
5	cradle	124.687685013	5	2	4	2.13333333333	56.7207	3600.0	48.3	power	0.2	6	36
6	cradle	135.375530005	5	2	4	2.13333333333	56.7207	3600.0	48.52	power	0.2	6	36
7	cradle	139.962476015	6	2	4	1.86666666667	56.7207	3600.0	48.94	power	0.2	6	36
8	cradle	152.280254841	5	2	4	2.13333333333	56.7207	3600.0	49.41	power	0.2	6	36
9	cradle	154.154447079	5	3	5	2.33333333333	56.7207	3600.0	46.7	power	0.2	6	36
10	cradle	143.549608946	6	2	4	1.86666666667	56.7207	3600.0	48.94	power	0.2	6	36
1	3	795.186718941	8	5	6	3.0	56.7207	3600.0	47.37	power	0.1	9	36
2	3	617.798981905	9	4	5	2.5	56.7207	3600.0	49.08	power	0.1	9	36
